0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,sim_times,num_qubits_info,num_gates_info,num_params_info,circuit_depth_info,num_qubits_after_transpile,date,state_000,state_001,state_010,state_011,state_100,state_101,state_110,state_111
1.0,1.5707964,0.0001229411,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0001229411,3.669378e-05,0.00021382714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.0001229411,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001229411,3.669378e-05,0.005434182,3.0,0.0,0.00019099677,0.00018968202,0.005434182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00019099677,0.00018968202,0.005761642,3.0,0.0,9.4636656e-05,5.761106e-05,0.005761642,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00019099677,0.00018968202,0.005761642,3.0,0.0,9.4636656e-05,5.761106e-05,0.005761642,3.0,0.0,0.0001229411,3.669378e-05,0.005434182,3.0,0.0,0.00019099677,0.00018968202,0.005434182,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.0001229411,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0001229411,3.669378e-05,0.00021382714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.0001229411,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0001229411,3.669378e-05,0.0238,5.0,0.0,0.00019099677,0.00018968202,0.0153,5.0,0.0,9.4636656e-05,5.761106e-05,0.0157,1.0530920028686523,3,10,0,7,3,2021-11-15 00:00:00,0.939,0.034,0.013,0.002,0.007,0.003,0.0,0.002
1.0,1.5707964,0.00012426653,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00012426653,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00012426653,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00012426653,3.669378e-05,0.0057029347,3.0,0.0,0.0001551319,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001551319,0.00017875555,0.006846539,3.0,0.0,0.00010295613,5.2679894e-05,0.006846539,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001551319,0.00017875555,0.006846539,3.0,0.0,0.00010295613,5.2679894e-05,0.006846539,3.0,0.0,0.00012426653,3.669378e-05,0.0057029347,3.0,0.0,0.0001551319,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00012426653,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00012426653,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00012426653,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00012426653,3.669378e-05,0.0206,5.0,0.0,0.0001551319,0.00017875555,0.0141,5.0,0.0,0.00010295613,5.2679894e-05,0.0166,0.4519989490509033,3,10,0,7,3,2021-11-15 06:00:00,0.948,0.025,0.009,0.003,0.011,0.001,0.003,0.0
1.0,1.5707964,0.00016039095,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00016039095,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00016039095,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00016039095,3.669378e-05,0.0057029347,3.0,0.0,0.00013659614,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00013659614,0.00017875555,0.006846539,3.0,0.0,0.00013682974,5.2679894e-05,0.006846539,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00013659614,0.00017875555,0.006846539,3.0,0.0,0.00013682974,5.2679894e-05,0.006846539,3.0,0.0,0.00016039095,3.669378e-05,0.0057029347,3.0,0.0,0.00013659614,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00016039095,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00016039095,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00016039095,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00016039095,3.669378e-05,0.0206,5.0,0.0,0.00013659614,0.00017875555,0.0141,5.0,0.0,0.00013682974,5.2679894e-05,0.0166,0.4144742488861084,3,10,0,7,3,2021-11-15 12:00:00,0.939,0.032,0.013,0.003,0.01,0.001,0.002,0.0
1.0,1.5707964,0.00012851186,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00012851186,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00012851186,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00012851186,3.669378e-05,0.0057029347,3.0,0.0,0.00019678057,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00019678057,0.00017875555,0.006846539,3.0,0.0,0.00010918734,5.2679894e-05,0.006846539,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00019678057,0.00017875555,0.006846539,3.0,0.0,0.00010918734,5.2679894e-05,0.006846539,3.0,0.0,0.00012851186,3.669378e-05,0.0057029347,3.0,0.0,0.00019678057,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00012851186,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00012851186,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00012851186,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00012851186,3.669378e-05,0.0206,5.0,0.0,0.00019678057,0.00017875555,0.0141,5.0,0.0,0.00010918734,5.2679894e-05,0.0166,0.46105051040649414,3,10,0,7,3,2021-11-15 18:00:00,0.938,0.032,0.011,0.005,0.013,0.001,0.0,0.0
1.0,1.5707964,5.1516858e-05,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.1516858e-05,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,5.1516858e-05,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.1516858e-05,3.669378e-05,0.0057029347,3.0,0.0,0.0001082156,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001082156,0.00017875555,0.006846539,3.0,0.0,0.00011766234,5.2679894e-05,0.006846539,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001082156,0.00017875555,0.006846539,3.0,0.0,0.00011766234,5.2679894e-05,0.006846539,3.0,0.0,5.1516858e-05,3.669378e-05,0.0057029347,3.0,0.0,0.0001082156,0.00017875555,0.0057029347,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,5.1516858e-05,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.1516858e-05,3.669378e-05,0.00021521641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,5.1516858e-05,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,5.1516858e-05,3.669378e-05,0.0206,5.0,0.0,0.0001082156,0.00017875555,0.0141,5.0,0.0,0.00011766234,5.2679894e-05,0.0166,0.48030924797058105,3,10,0,7,3,2021-11-16 00:00:00,0.938,0.033,0.015,0.006,0.003,0.001,0.001,0.003
1.0,1.5707964,0.00013810866,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00013810866,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00013810866,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00013810866,3.669378e-05,0.0065722005,3.0,0.0,0.000110325185,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.000110325185,0.00014175285,0.0064487085,3.0,0.0,0.00010243203,5.551781e-05,0.0064487085,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.000110325185,0.00014175285,0.0064487085,3.0,0.0,0.00010243203,5.551781e-05,0.0064487085,3.0,0.0,0.00013810866,3.669378e-05,0.0065722005,3.0,0.0,0.000110325185,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00013810866,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00013810866,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00013810866,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00013810866,3.669378e-05,0.0243,5.0,0.0,0.000110325185,0.00014175285,0.0131,5.0,0.0,0.00010243203,5.551781e-05,0.0159,0.9650957584381104,3,10,0,7,3,2021-11-16 06:00:00,0.942,0.03,0.011,0.0,0.011,0.002,0.001,0.003
1.0,1.5707964,0.00013356857,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00013356857,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00013356857,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00013356857,3.669378e-05,0.0065722005,3.0,0.0,0.0001497693,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001497693,0.00014175285,0.0064487085,3.0,0.0,9.107276e-05,5.551781e-05,0.0064487085,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0001497693,0.00014175285,0.0064487085,3.0,0.0,9.107276e-05,5.551781e-05,0.0064487085,3.0,0.0,0.00013356857,3.669378e-05,0.0065722005,3.0,0.0,0.0001497693,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00013356857,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00013356857,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00013356857,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00013356857,3.669378e-05,0.0243,5.0,0.0,0.0001497693,0.00014175285,0.0131,5.0,0.0,9.107276e-05,5.551781e-05,0.0159,0.4926326274871826,3,10,0,7,3,2021-11-16 12:00:00,0.945,0.028,0.01,0.003,0.01,0.001,0.001,0.002
1.0,1.5707964,0.00010298852,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00010298852,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00010298852,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00010298852,3.669378e-05,0.0065722005,3.0,0.0,8.371529e-05,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.371529e-05,0.00014175285,0.0064487085,3.0,0.0,0.000120350225,5.551781e-05,0.0064487085,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.371529e-05,0.00014175285,0.0064487085,3.0,0.0,0.000120350225,5.551781e-05,0.0064487085,3.0,0.0,0.00010298852,3.669378e-05,0.0065722005,3.0,0.0,8.371529e-05,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00010298852,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00010298852,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00010298852,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00010298852,3.669378e-05,0.0243,5.0,0.0,8.371529e-05,0.00014175285,0.0131,5.0,0.0,0.000120350225,5.551781e-05,0.0159,0.4595315456390381,3,10,0,7,3,2021-11-16 18:00:00,0.951,0.019,0.014,0.007,0.006,0.001,0.002,0.0
1.0,1.5707964,0.00010628048,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00010628048,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00010628048,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.00010628048,3.669378e-05,0.0065722005,3.0,0.0,8.371529e-05,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.371529e-05,0.00014175285,0.0064487085,3.0,0.0,0.00012533719,5.551781e-05,0.0064487085,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.371529e-05,0.00014175285,0.0064487085,3.0,0.0,0.00012533719,5.551781e-05,0.0064487085,3.0,0.0,0.00010628048,3.669378e-05,0.0065722005,3.0,0.0,8.371529e-05,0.00014175285,0.0065722005,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00010628048,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.00010628048,3.669378e-05,0.00024527786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,0.00010628048,3.669378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.00010628048,3.669378e-05,0.0243,5.0,0.0,8.371529e-05,0.00014175285,0.0131,5.0,0.0,0.00012533719,5.551781e-05,0.0159,0.502068281173706,3,10,0,7,3,2021-11-17 00:00:00,0.946,0.017,0.014,0.003,0.008,0.002,0.003,0.007
1.0,1.5707964,6.997356e-05,2.8109105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.997356e-05,2.8109105e-05,0.00025779585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,6.997356e-05,2.8109105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.997356e-05,2.8109105e-05,0.0063895886,3.0,0.0,7.167295e-05,0.0001186422,0.0063895886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.167295e-05,0.0001186422,0.0061439807,3.0,0.0,0.0001093982,4.7273996e-05,0.0061439807,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.167295e-05,0.0001186422,0.0061439807,3.0,0.0,0.0001093982,4.7273996e-05,0.0061439807,3.0,0.0,6.997356e-05,2.8109105e-05,0.0063895886,3.0,0.0,7.167295e-05,0.0001186422,0.0063895886,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,6.997356e-05,2.8109105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.997356e-05,2.8109105e-05,0.00025779585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5707964,6.997356e-05,2.8109105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,6.997356e-05,2.8109105e-05,0.021,5.0,0.0,7.167295e-05,0.0001186422,0.0136,5.0,0.0,0.0001093982,4.7273996e-05,0.0166,0.9500734806060791,3,10,0,7,3,2021-11-17 06:00:00,0.935,0.036,0.019,0.002,0.005,0.001,0.001,0.001
